Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall,41,41,234,2825,339,1996,490,916,577,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/bo,2,2,9,123,24,63,36,34,9,"0,57",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/component,2,2,7,167,11,140,16,71,59,"0,11",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/config,3,3,10,145,17,113,15,55,24,"0,13",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/controller,8,8,51,779,80,666,33,234,188,"0,05",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/dao,4,4,12,111,18,41,52,37,0,"1,27",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/dto,5,5,0,117,17,80,20,45,0,"0,25",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service,16,16,144,1367,170,884,313,435,296,"0,35",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/impl,8,8,82,942,89,763,90,327,296,"0,12",0,0,"0,00","0,00"
Directory Structure/mall-common/src,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-common/src/main/java,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
