Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Unnamed Function,"(unnamed_object).hasRoleOr.(unnamed_function_5)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).inserted",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,19,3,16,,,0,,,9,5,5,3,,,2,,,,4
Public Method,"(unnamed_object).inserted",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,19,3,16,,,0,,,9,5,5,3,,,2,,,,4
Unnamed Function,"(unnamed_object).inserted.hasPermissions.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Unnamed Function,"(unnamed_object).inserted.hasRole.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).install",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,12,0,7,,,5,,,5,0,5,1,,,0,,,,1
Public Method,"(unnamed_object).loading",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).methods.$_isMobile",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,1,2,1,,,0,,,,1
Public Method,"(unnamed_object).methods.$_resizeHandler",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,10,1,9,,,0,,,5,1,5,4,,,2,,,,4
Public Method,"(unnamed_object).methods.$_sidebarResizeHandler",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,2,0,2,2,,,1,,,,2
Public Method,"(unnamed_object).methods.destroyListener",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,1,5,,,0,,,3,0,3,1,,,0,,,,1
Public Method,"(unnamed_object).methods.fixBugIniOS",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,12,0,12,,,0,,,4,2,2,2,,,1,,,,4
Unnamed Function,"(unnamed_object).methods.fixBugIniOS.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,3,0,3,2,,,1,,,,2
Public Method,"(unnamed_object).methods.initListener",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,9,1,8,,,0,,,4,0,4,1,,,0,,,,2
Unnamed Function,"(unnamed_object).methods.initListener.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).methods.resize",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,1,1,1,,,0,,,,1
Public Method,"(unnamed_object).mounted",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).mounted",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,,4,1,4,2,,,1,,,,2
Public Method,"(unnamed_object).mounted",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).msg",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).msgError",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).msgSuccess",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).msgWarning",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).notify",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).notifyError",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).notifySuccess",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).notifyWarning",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).openPage",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,3,1,2,1,,,0,,,,1
Public Method,"(unnamed_object).printErrMsg",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,4,3,3,1,,,0,,,,1
Public Method,"(unnamed_object).prompt",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).refreshPage",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,19,0,19,,,0,,,4,1,3,2,,,1,,,,6
Unnamed Function,"(unnamed_object).refreshPage.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,7,0,7,,,0,,,3,0,3,3,,,2,,,,3
Unnamed Function,"(unnamed_object).refreshPage.(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,1,1,1,,,0,,,,1
Public Method,"(unnamed_object).render",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,34,2,32,,,0,,,8,4,5,2,,,1,,,,8
Unnamed Function,"(unnamed_object).render.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,0,0,0,1,,,0,,,,1
Unnamed Function,"(unnamed_object).render.(unnamed_function_6)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,3,1,2,2,,,1,,,,2
Unnamed Function,"(unnamed_object).render.(unnamed_function_7)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,12,0,12,,,0,,,8,1,7,4,,,3,,,,4
Public Method,"(unnamed_object).saveAs",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Unnamed Function,"(unnamed_object).scrollBehavior.(unnamed_function_15)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,0,0,0,1,,,0,,,,1
Public Method,"(unnamed_object).unbind",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,11,0,11,,,0,,,8,0,8,4,,,2,,,,4
Public Method,"(unnamed_object).update",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,10,0,10,,,0,,,7,0,7,3,,,2,,,,6
Unnamed Function,"(unnamed_object).update.(unnamed_function_5)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,0,0,0,2,,,0,,,,2
Public Method,"(unnamed_object).updatePage",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).watch.$route",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,2,0,2,2,,,1,,,,2
Public Method,"(unnamed_object).zip",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,23,0,23,,,0,,,3,1,2,1,,,0,,,,4
Unnamed Function,"(unnamed_object).zip.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,,6,2,6,2,,,1,,,,2
Unnamed Function,"(unnamed_object).zip.(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,3,0,3,1,,,0,,,,1
File,"AbstractQuartzJob.java",21,1,16,4,2,"0,00","0,00",0,0,,,,,1,0,2,3,,4,4,0,,,,4,,0,0,3,1,,106,10,68,27,30,28,,40,47,26,28,,3,,2,,,"0,41",6
File,"AjaxResponseBuilder.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,8,,8,8,0,,,,8,,0,0,0,8,,38,10,28,11,8,0,,10,19,11,8,,2,,0,,,"0,00",10
File,"AjaxResult.java",10,0,4,6,1,"0,00","0,00",0,0,,,,,1,10,4,17,,17,7,0,,,,17,,0,0,0,17,,216,22,87,28,25,107,,29,48,27,21,,2,,1,,,"1,23",18
File,"ApplicationConfig.java",5,0,3,2,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,1,0,,,,1,,0,0,0,1,,22,2,12,7,1,8,,5,7,6,1,,1,,0,,,"0,67",2
File,"AsyncLogService.java",8,0,5,3,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,1,,,,1,,0,0,0,1,,29,3,18,13,1,8,,9,11,10,1,,1,,0,,,"0,44",1
File,"AuthFilter.java",11,0,10,1,2,"0,00","0,00",0,0,,,,,1,0,1,8,,8,7,2,,,,7,,0,5,0,2,,135,14,105,49,39,16,,55,70,44,39,,6,,1,,,"0,15",15
File,"AuthLogic.java",13,0,8,5,2,"0,00","0,00",0,0,,,,,1,0,2,25,,25,23,1,,,,23,,0,0,0,23,,373,27,222,56,78,124,,67,116,60,68,,4,,2,,,"0,56",46
File,"AuthUtil.java",9,0,4,5,1,"0,00","0,00",0,0,,,,,1,15,1,15,,15,0,0,,,,15,,0,0,0,15,,168,17,69,22,16,82,,21,37,22,16,,1,,0,,,"1,19",15
File,"Base64.java",37,5,29,5,5,"0,00","0,00",0,0,,,,,1,6,10,6,,6,0,0,,,,6,,0,4,0,2,,291,40,225,46,144,33,,136,168,54,116,,13,,3,,,"0,15",32
File,"BaseController.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,13,,13,13,4,,,,13,,0,0,6,7,,80,18,57,30,17,5,,28,42,29,17,,1,,0,,,"0,09",13
File,"BaseEntity.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,14,,14,14,7,,,,14,,0,0,0,14,,118,23,83,35,17,12,,31,47,31,16,,2,,1,,,"0,14",15
File,"BaseException.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,9,,9,9,4,,,,9,,0,0,0,9,,79,14,48,16,13,17,,18,28,16,12,,1,,0,,,"0,35",9
File,"BeanUtils.java",20,1,11,9,2,"0,00","0,00",0,0,,,,,1,4,3,4,,4,0,0,,,,4,,0,0,0,4,,110,13,55,20,22,42,,22,34,22,20,,3,,2,,,"0,76",9
File,"BeanValidators.java",9,0,9,0,2,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,,,,1,,0,0,0,1,,24,2,17,9,3,5,,7,10,8,3,,2,,1,,,"0,29",2
File,"BlackListUrlFilter.java",6,1,6,0,1,"0,00","0,00",0,0,,,,,2,0,0,8,,8,5,2,,,,5,,0,0,0,5,,65,11,49,20,15,5,,21,29,18,13,,2,,1,,,"0,10",9
