Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"MessageClient.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,35,4,18,17,0,13,,12,13,13,0,,0,,0,,,"0,72",0
File,"MessageClient.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,3,11,10,0,5,,6,7,7,0,,0,,0,,,"0,45",0
File,"MessageController.java",9,0,6,3,1,"0,00","0,00",0,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,87,11,52,36,11,24,,22,29,20,11,,1,,0,,,"0,46",6
File,"MessageEntity.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,8,0,,0,0,0,0,,56,11,32,31,1,13,,19,20,20,0,,0,,0,,,"0,41",0
File,"MessageRepo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,48,7,18,17,0,23,,12,13,13,0,,0,,0,,,"1,28",0
File,"MessageService.java",9,0,9,0,3,"0,00","0,00",0,0,,,,,2,0,2,1,,1,1,3,1,,0,0,0,1,,50,11,33,24,8,6,,18,23,18,6,,3,,1,,,"0,18",3
File,"MessageService.java",4,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,60,11,35,21,9,14,,18,25,18,9,,1,,0,,,"0,40",6
File,"MongoEventListener.java",20,1,16,3,3,"0,00","0,00",0,0,,,,,1,0,0,2,,2,1,1,1,,0,0,0,1,,53,7,37,21,12,9,,21,26,17,10,,4,,1,,,"0,24",5
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,6,18,9,6,6,,10,13,7,6,,1,,0,,,"0,33",2
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,31,6,19,10,6,6,,11,14,8,6,,1,,0,,,"0,32",2
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,6,18,9,6,6,,10,13,7,6,,1,,0,,,"0,33",2
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,31,6,19,10,6,6,,11,14,8,6,,1,,0,,,"0,32",2
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,6,18,9,6,6,,10,13,7,6,,1,,0,,,"0,33",2
File,"MyException.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,6,18,9,6,6,,10,13,7,6,,1,,0,,,"0,33",2
Unknown Annotation,"OnClose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"OnError",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"OnMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"OnOpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"OutsideApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,5,17,14,1,0,,10,12,11,1,,1,,0,,,"0,00",1
File,"OutsideApplicationTests.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,5,12,10,0,0,,5,7,7,0,,1,,0,,,"0,00",1
File,"OutsideClient.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,20,3,12,11,0,5,,7,8,8,0,,0,,0,,,"0,42",0
File,"OutsideController.java",10,0,8,3,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,74,9,45,33,9,20,,22,27,21,8,,2,,1,,,"0,44",4
Unknown Annotation,"PathVariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
Unknown Annotation,"PostMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"PrefixRedisSerializer.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,53,11,36,21,13,6,,19,25,17,10,,2,,1,,,"0,17",5
File,"PrefixRedisSerializer.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,52,11,35,20,13,6,,18,24,16,10,,2,,1,,,"0,17",5
File,"PrefixRedisSerializer.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,53,11,36,21,13,6,,19,25,17,10,,2,,1,,,"0,17",5
File,"PrefixRedisSerializer.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,53,11,36,21,13,6,,19,25,17,10,,2,,1,,,"0,17",5
